Date,Real Disposable income per head,Households savings ratio per head,Debt to Income ratio: %:,Bank rate: %
2019 Q1,6237,4.1,132.8,0.75
2019 Q2,6318,9.6,132.9,0.75
2019 Q3,6318,4.1,132.8,0.75
2019 Q4,6377,5.4,132.8,0.75
2020 Q1,6275,4.7,132.7,0.6117
2020 Q2,6188,30.1,133.4,0.1
2020 Q3,6319,15.7,134.7,0.1
2020 Q4,6349,15.2,136,0.1
2021 Q1,6398,18.4,135.9,0.1
2021 Q2,6406,16.1,135.9,0.1
2021 Q3,6349,10.4,135.3,0.1
2021 Q4,6225,6.6,133.9,0.1234
2022 Q1,6230,4.3,134.1,0.4563
2022 Q2,6076,7.2,134,0.9583
2022 Q3,6063,5.6,133.7,1.6172
2022 Q4,6150,4.3,131.4,2.8056
2023 Q1,6065,1.1,129.1,3.8555
2023 Q2,6131,9.4,126.6,4.4583
2023 Q3,6106,7.1,125.7,5.1602
2023 Q4,6118,6.8,124.5,5.25
2024 Q1,6226,6.7,122.9,5.25
2024 Q2,6230,12.7,121.9,5.25
2024 Q3,6329,8.9,120.9,5.0885
2024 Q4,6418,10.7,119.1,4.8555
2025 Q1,6378,8.5,118.2,4.5992
2025 Q2,6319,12.6,117.2,4.3484
2025 Q3,6271,7.9,117.2,4.1038
2025 Q4,6347,9.4,117.4,3.9688
